選區,立委,門檻,同意,不同意,人數
臺北3,王鴻薇,68578,76463,86311,274312
臺北4,李彥秀,77972,78560,105169,311888
臺北6,羅智強,57246,56726,74808,228984
臺北7,徐巧芯,57785,62633,75401,231140
臺北8,賴士葆,61189,55958,86907,244756
新北1,洪孟楷,101265,94808,121592,405060
新北7,葉元之,57761,63357,66917,231044
新北8,張智倫,72073,67131,95319,288292
新北9,林德福,59345,51484,83862,237380
新北12,廖先翔,66561,60944,78798,266244
桃園1,牛煦庭,88517,86734,106637,354068
桃園2,涂權吉,79106,70310,101419,316424
桃園3,魯明哲,77251,66301,105323,309004
桃園4,萬美玲,76672,72626,97544,306688
桃園5,呂玉玲,70678,59828,97970,282712
桃園6,邱若華,71261,61635,92049,285044
臺中4,廖偉翔,84430,83812,106534,337720
臺中5,黃健豪,93587,88914,119540,374348
臺中6,羅廷瑋,69359,74012,86422,277436
雲林1,丁學忠,67916,57331,77164,271664
花蓮,傅崐萁,47842,48969,65300,191368
臺東,黃建賓,28347,21123,34889,113388
基隆,林沛祥,75995,65143,96294,303980
新竹,鄭正鈐,89266,89970,119305,357064
# https://docs.google.com/spreadsheets/d/17eBNgYMeUdtQ9ihVm-FSdn8_YAKg5e5AjWMQMELQkA8/edit?gid=0#gid=0
# https://recallvote.cec.gov.tw/
